순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
85,씨트론과자점 본점,3.4,8건,13,부산 동래구 충렬대로107번길 54 럭키아파트상가 2-32호
86,이솝베이커리,4.5,6건,1,부산 금정구 장전로 10 1층
87,더라이스,4.8,6건,327,부산 동래구 동래로79번길 26 1층
88,라끄베이커리카페,5.0,1건,0,부산 금정구 놀이마당로 37
89,소담빵집,5.0,2건,3,부산 금정구 서부로 12-1 1층
90,빵들리에,5.0,3건,0,부산 금정구 중앙대로1719번길 47
91,브리앙,3.4,18건,40,부산 동래구 온천장로119번길 26 1층
92,아뜰리에마롱,4.2,12건,33,부산 연제구 중앙대로1134번길 15
93,뉴욕제과,5.0,1건,0,부산 금정구 금강로 728
94,꽈배기점빵,0.0,0건,0,부산 금정구 서금로 2-3
95,파리바게뜨 부산온천점,2.5,4건,0,부산 동래구 금강공원로 26 1층
96,미츠과자점,0.0,0건,0,부산 금정구 서동로 155
97,파리바게뜨 부산종합터미널점,0.0,0건,0,부산 금정구 중앙대로 2238 종합터미널 2층 6호
98,니줄라꼬 슈가케이크,0.0,0건,0,부산 금정구 금강로633번길 19
99,브로쓰마카롱 동래점,4.9,12건,14,부산 동래구 명륜로138번길 25 1층
100,꼬르또또,0.0,0건,1,부산 금정구 금샘로 457 2층
101,빠리쟝베이커리,3.7,15건,33,부산 동래구 충렬대로237번길 74
102,드래곤과자점 본점,2.7,9건,22,부산 북구 만덕1로 17 1층
103,코코스베이커리,5.0,2건,1,부산 금정구 서동로 75-6
104,본비당,0.0,0건,60,부산 금정구 금정로193번길 6 1층
105,행복한찹쌀꽈배기,4.0,4건,1,부산 금정구 청룡예전로 9
106,달콤왕가탕후루 사직점,2.7,3건,20,부산 동래구 사직북로 4
107,브레드헤븐,5.0,1건,0,부산 금정구 수림로20번길 41
108,원더플꽈배기,0.0,0건,0,부산 금정구 중앙대로1945번길 5
109,쿠키류,5.0,1건,0,부산 금정구 수림로 79 1층
110,뚜레쥬르 동래허브스카이점,3.9,7건,2,부산 동래구 중앙대로 1523
111,사랑해베이글 동래점,5.0,4건,4,부산 동래구 중앙대로1381번길 66-8 1층
112,빠리당,4.7,27건,66,부산 해운대구 센텀북대로 60 센텀아이에스타워 106호
113,김태호과자점,5.0,1건,0,부산 금정구 중앙대로 1907
114,누룩꽃이 핀다,5.0,1건,0,부산 금정구 금샘로 578
115,아덴블랑제리 온천점,5.0,1건,3,부산 동래구 온천장로65번길 9 116호
116,파리바게뜨 온천스카이점,3.7,3건,1,부산 동래구 온천장로125번길 11 1층
117,파리바게뜨 구서캐슬,0.0,0건,0,부산 금정구 금강로 479
118,버터레코드,0.0,0건,0,부산 금정구 장전동 3
119,뚜레쥬르 부산온천점,3.0,5건,0,부산 동래구 금강로62번길 3
120,비오크라상,0.0,0건,0,부산 금정구 부산대학로63번길 29
