순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
110,콘아모레제과점,0.0,0건,0,부산 기장군 기장읍 차성로344번길 13
111,유성베이커리,0.0,0건,0,부산 기장군 정관읍 용수로 25
112,지에프푸드,0.0,0건,0,부산 해운대구 해운대로 1196
113,파리바게뜨 부산반송점,4.7,3건,0,부산 해운대구 신반송로 207 1층
114,뚜레쥬르 부산반송점,0.0,0건,1,부산 해운대구 신반송로 193 신정빌딩 1층
115,파리바게뜨 반송영산대점,0.0,0건,0,부산 해운대구 아랫반송로 13-1
116,에삐나르과자점,0.0,0건,0,부산 해운대구 아랫반송로 52
117,총각네빵집,0.0,0건,0,부산 해운대구 윗반송로51번길 84-29
118,장현호 과자점,0.0,0건,0,부산 해운대구 아랫반송로 52
119,구디숍,0.0,0건,12,부산 해운대구 윗반송로31번길 65 1층
120,밀양산지직판장(방앗간),0.0,0건,0,부산 해운대구 신반송로 163
