순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
95,미쉘린베이커리,5.0,1건,2,부산 사하구 하신중앙로 265 가락타운3단지아파트 가락타운상가시장 1층
96,오키마카롱,0.0,0건,2,부산 사하구 다대로429번길 15
97,달님베이커리,0.0,0건,0,부산 사하구 낙동대로135번안길 9
98,베이커스마마,5.0,1건,29,부산 사하구 윤공단로62번길 41
99,문화마을빵,5.0,6건,0,부산 사하구 감내1로 210
100,베어베이크,3.0,2건,2,부산 사하구 윤공단로 29 104호
101,프레티올라프레즐,4.6,5건,61,부산 중구 남포길 25-3
102,보보케키,0.0,0건,5,부산 사하구 하신번영로350번길 4
103,파리바게뜨 동대신점,4.0,8건,2,부산 서구 구덕로 331-1
104,오거리도넛,0.0,0건,0,부산 사하구 낙동대로451번길 2
105,소꿉당,5.0,4건,17,부산 사상구 대동로 69 1층
106,라라제과,0.0,0건,0,부산 사하구 낙동대로135번길 8
107,루반도르 본점,2.7,24건,11,부산 동구 중앙대로 375-1
108,송사부수제쌀고로케 아트몰링하단점,5.0,1건,1,부산 사하구 낙동남로 1413 지하1층
109,메종드콘,5.0,11건,36,부산 영도구 절영로35번길 46 남항부백자연애아파트 1층 104호
110,뚜레쥬르 부산엄궁점,5.0,2건,0,부산 사상구 엄궁로203번길 40 송학빌딩 1층
111,얼리모닝케이크,0.0,0건,0,부산 사하구 하신중앙로 265
112,희희호호,0.0,0건,1,부산 사하구 다송로72번길 69 1층
113,엉클베이커리,0.0,0건,3,부산 사하구 하신번영로312번길 3
114,베티빌리지,5.0,7건,164,부산 중구 광복중앙로34번길 9 1층
115,비엔씨 초량점,2.3,3건,7,부산 동구 중앙대로226번길 13-3
116,모젤과자점,4.6,5건,32,부산 서구 구덕로 320 1층
117,정항우케익 남포점,4.9,7건,10,부산 중구 구덕로 68 1층
118,마들렌,5.0,1건,0,부산 사하구 하신중앙로 2
119,꿈꾸는요리사 오션시티점,3.7,9건,15,부산 강서구 명지오션시티4로 62
120,뚜레쥬르 서대신역점,0.0,0건,0,부산 서구 대티로 178
