순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
77,쉐프장과자점,5.0,6건,3,부산 부산진구 당감로 20
78,파리바게뜨 가야롯데캐슬점,,(30),0,부산 부산진구 가야대로 538 롯데캐슬골드아너 3동 상가 105호
79,오웰로,0.0,0건,20,부산 부산진구 서전로68번길 108 3층
80,릴리스베이커리,5.0,3건,11,부산 부산진구 전포대로200번길 27 1층
81,엄대건과자점,4.0,3건,8,부산 부산진구 당감로 61
82,베이커리굴,4.2,9건,90,부산 부산진구 서전로46번길 14
83,파리바게뜨 가야동의대점,3.7,3건,1,부산 부산진구 대학로 10-11
84,뭉구점 비건베이커리,5.0,9건,23,부산 부산진구 서전로37번길 26 B동 1층 156호
85,달맞이빵 당감점,4.9,8건,7,부산 부산진구 동평로 85 1층
86,파리바게뜨 초읍LG점,3.0,2건,0,부산 부산진구 성지로 82 한일맨션 4동 1층 101호
87,크림일기,4.0,4건,13,부산 부산진구 전포대로224번길 7 태영상사 3층
88,파리바게뜨 가야현대점,2.3,3건,0,부산 부산진구 가야대로 637 1층
89,옛날그빵집,4.0,20건,28,부산 동래구 명안로 38-1 1층
90,구자윤과자점 시청점,4.0,6건,45,"부산 연제구 시청로 38 1,2층"
91,고려당 벨띠에 부산본점,3.0,5건,5,부산 부산진구 가야대로 772
92,포포디노,5.0,2건,3,부산 부산진구 양지로 24 1층
93,백구당,3.5,27건,46,부산 중구 중앙대로81번길 3
94,카롱카롱 서면1호점,5.0,1건,0,부산 부산진구 서면로68번길 47
95,파리바게뜨 연지한신점,1.0,2건,0,부산 부산진구 새싹로 177 세동한신아파트상가 1층 115호
96,양태현과자점,5.0,8건,9,부산 부산진구 범양로126번길 1 1층
97,뚜레쥬르 부산개금백병원,0.0,0건,0,부산 부산진구 복지로 75 임재관 1층
98,백조제과,5.0,4건,3,부산 부산진구 동평로 407
99,아틀리에 스미다,4.4,34건,115,부산 수영구 과정로41번길 20 메디플러스빌딩 1층 101호
100,베희글,5.0,1건,30,부산 부산진구 서전로38번길 35 1층
101,안도91,5.0,4건,45,부산 부산진구 전포대로162번가길 7-1
102,뚜레쥬르 부산온병원점,1.0,2건,0,부산 부산진구 가야대로 721
103,오굳띵,5.0,8건,53,부산 부산진구 전포대로246번길 14 1층
104,소풍이야기 단팥빵,4.3,3건,6,부산 부산진구 서면로 64 청석빌딩 1층
105,큰별마카롱,,(30),56,부산 부산진구 서면로 56 서면시장 1층
106,구자윤과자점 교대점,4.4,16건,141,부산 연제구 세병로 29 1층
107,구자윤과자점,0.0,0건,0,부산 부산진구 중앙대로 786
108,보소보소,5.0,11건,85,부산 부산진구 전포대로 210 1층
109,오드컵케이크 전포점,4.8,5건,34,부산 부산진구 동성로25번길 6 1층
110,부부빵집,,(30),4,부산 연제구 명륜로 16 1층
111,겐츠베이커리 본점,3.4,19건,45,부산 남구 분포로 111 LG메트로시티주1상가 1층
112,메트르아티정,3.6,44건,92,부산 수영구 남천동로22번길 21
113,더베이베이커리,4.6,8건,89,부산 수영구 수영로510번길 30 1층
114,양과자점 별하당,4.7,3건,15,부산 부산진구 동성로 93-1 2층
115,아뜰리에마롱,4.2,12건,33,부산 연제구 중앙대로1134번길 15
116,파리바게뜨 개금엘지점,3.0,2건,0,"부산 부산진구 백양대로300번길 20 신개금엘지아파트 상가동 113, 114호"
117,여기구움,3.0,1건,487,부산 부산진구 서전로 35 1층 6호
118,파리바게뜨 부암화승점,5.0,1건,0,부산 부산진구 당감서로80번길 19 화승삼성아파트상가 1층
119,리블링케이크,4.2,5건,29,부산 부산진구 전포대로246번길 15 101호
120,페팽과자점,2.4,33건,167,부산 수영구 광서로 1
