순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
95,빵세권,0.0,0건,0,부산 강서구 지사동 1185-1 상가 108호
96,윈썸크로플,5.0,1건,0,부산 강서구 과학산단로334번다길 39
97,파리바게뜨 모라점,3.0,2건,0,부산 사상구 백양대로 886
98,파리바게뜨 화명수정점,5.0,1건,3,부산 북구 학사로17번길 4
99,하르당 덕천역점,0.0,0건,6,부산 북구 백양대로 1192
100,심봉사도로케 명지국제신도시점,0.0,0건,0,부산 강서구 명지국제8로 242 씨에스프라자 1층 탑마트365내
101,파리바게뜨 부산화명점,4.0,4건,2,부산 북구 화명대로 27 윤프라자 1층
102,요미케이크,5.0,1건,21,부산 북구 의성로 45 1층
103,콩님콩방베이킹클래스,0.0,0건,0,부산 강서구 낙동북로 68-7 1층
104,베이커리 홍미당,0.0,0건,0,부산 강서구 남해2지선고속도로 19 1층
105,와플대학 덕천캠퍼스,,(30),32,부산 북구 금곡대로8번길 87 덕천역 이즤 카운티 103동 1층 103호
106,오-케이크 O-CAKE,0.0,0건,0,부산 강서구 신호산단3로 55
107,파리바게뜨 부산과기대점,5.0,1건,0,부산 북구 시랑로 71
108,프레제명지점,0.0,0건,0,부산 강서구 명지오션시티11로 51
109,코코로브레드 사직점,2.3,7건,20,부산 동래구 사직로70번길 70
110,베러케이크,5.0,1건,28,부산 북구 금곡대로 230 금용복합스포츠타운 2층 203호
111,뚜레쥬르 부산사상터미널점,4.0,4건,4,부산 사상구 사상로 204
112,우리동네 호두과자,5.0,1건,7,부산 북구 만덕대로 81
113,와플칸 사상점,1.0,1건,11,부산 사상구 사상로 224 1층
114,디스이즈모름,0.0,0건,0,부산 강서구 명지국제1로 56-1 플러스타워 1층 120호
115,드래곤베이커리,2.6,5건,1,부산 북구 만덕대로 88
116,신성호베이커리,3.7,15건,8,부산 북구 화명대로 68 상가동 107호
117,파리바게뜨 화명대림점,3.8,5건,0,부산 북구 화명대로 68
118,아미 이편한점,0.0,0건,0,부산 강서구 명지국제2로 80
119,송미당,0.0,0건,0,부산 강서구 명지국제8로 233
120,도담도담식빵 명지점,0.0,0건,0,부산 강서구 명지국제5로 59
