순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
107,뚜레쥬르 부산시청점,2.4,12건,3,부산 부산진구 진연로 5
108,무슈뱅상,4.4,54건,101,부산 수영구 광남로48번길 19 1층
109,장현호 과자점,4.8,10건,5,부산 연제구 연수로 125
110,구자윤과자점,2.8,26건,23,부산 수영구 수영로705번길 15 1층
111,안가네대추빵 부산사직점,5.0,2건,0,부산 동래구 사직북로33번길 8 1층
112,츄러스1500 명륜점,0.0,0건,0,부산 동래구 명륜로 183 1층 102호
113,바게트제작소 전포점,3.7,36건,146,부산 부산진구 전포대로199번길 19 예원빌딩 1층 102호
114,라라브레드 부산대점,4.7,10건,71,부산 금정구 장전온천천로 73
115,오감베이커리,3.6,10건,29,부산 연제구 안연로 19
116,순쌀빵 남천점,3.4,18건,39,부산 수영구 광안해변로 122
117,원더풀찹쌀꽈배기,0.0,0건,0,부산 동래구 명장로 54-2 1층
118,보타닉아덴,3.9,18건,155,부산 남구 전포대로 133 IFC부산 지하1층
119,아델라세븐 사직점,0.0,0건,4,부산 동래구 아시아드대로195번길 53
120,파리바게뜨 연산로타리점,1.8,4건,3,부산 연제구 반송로 15 1층
