순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
110,웨스틴조선부산 조선델리,4.3,11건,27,부산 해운대구 동백로 67 웨스틴조선 부산 1층
111,이흥용과자점 신세계백화점 센텀시티직영점,4.3,16건,12,부산 해운대구 센텀남대로 35 지하 1층
112,겐츠베이커리 대연점,4.0,1건,2,부산 남구 수영로 345 115동 1층 107-1호
113,오뜨,4.6,9건,6,부산 남구 유엔평화로13번길 66
114,바게트제작소 전포점,3.7,36건,146,부산 부산진구 전포대로199번길 19 예원빌딩 1층 102호
115,쇼쿠팡,4.7,18건,29,부산 부산진구 서전로 11 1층
116,도로시베이커리,4.7,6건,12,부산 수영구 남천바다로21번길 70 월드파크5 1층 102호
117,티롤케익,4.0,2건,0,부산 수영구 과정로 69
118,벨리르,3.0,2건,15,부산 수영구 망미번영로63번길 54 1층
119,시노베,3.2,29건,119,부산 해운대구 구남로29번길 35 1층
120,모어허그,0.0,0건,1,부산 수영구 광일로29번길 26-4
