순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
84,뚜레쥬르 부산서면직영점,4.3,10건,22,부산 부산진구 중앙대로692번길 43
85,카렘제과,5.0,7건,4,부산 사하구 장평로 433
86,단아케이크,5.0,1건,8,부산 서구 구덕로232번길 3 2층
87,삼익베이커리,5.0,3건,2,부산 서구 대영로73번길 13
88,덕선제과,4.7,15건,86,부산 부산진구 망양로 947-1
89,하르당 자갈치역점,5.0,3건,0,부산 중구 구덕로 56
90,아덴블랑제리 초량점,5.0,1건,71,부산 동구 홍곡중로 2 1층 1호
91,더베이커리수,2.0,1건,2,부산 서구 구덕로 310
92,라띠에르,1.0,1건,1,부산 서구 대영로 44
93,몽블랑제 홈플러스익스프레스 서대신점,0.0,0건,0,부산 서구 구덕로 317-1
94,빵의나라,0.0,0건,0,부산 서구 충무시장길 48
95,서리미쁘다,0.0,0건,6,부산 중구 대청로90번길 3-1 3층
96,베이커리카페라벨 라발스호텔점,0.0,0건,0,부산 영도구 봉래나루로 82 라발스호텔 1층
97,구르망베이커리,4.8,4건,5,부산 동구 고관로29번길 30 1층
98,파리바게뜨 영도남항점,4.0,3건,1,부산 영도구 남항로 40-1
99,파리바게뜨 부산괴정대티점,0.0,0건,2,부산 사하구 낙동대로 154
100,갓식빵 대신푸르지오점,5.0,2건,0,부산 서구 대영로38번길 11
101,호두팡팡,4.7,3건,0,부산 중구 국제시장2길 5
102,데일리팡 영도점,5.0,1건,0,부산 영도구 태종로100번길 3 1층
103,만나제빵소,0.0,0건,3,부산 서구 보수대로 242
104,깡통시장카스테라,0.0,0건,1,부산 중구 부평2길 26-1 1층
105,1974쉐라미,5.0,3건,19,부산 사하구 낙동대로 238
106,뚜레쥬르 부산괴정역점,0.0,0건,0,부산 사하구 낙동대로 225-1
107,카롱카롱,4.0,2건,3,부산 중구 구덕로48번길 1
108,케잌타운제과,0.0,0건,2,부산 중구 부평2길 6-1 1층
109,앤티앤스프레즐 동아대학교병원점,5.0,1건,0,부산 서구 대신공원로 26 지하1층
110,파리바게뜨 부산초량점,1.0,2건,0,부산 동구 초량상로 99 1층
111,사하단팥빵,4.6,14건,37,부산 사하구 다대로 584 1층
112,크라상점 부산서면점,4.9,17건,43,부산 부산진구 중앙대로680번길 19 1층
113,파리바게뜨 부산감천점,5.0,2건,1,부산 사하구 감천로 46
114,감천제빵소,5.0,1건,8,부산 사하구 감내2로 145
115,자미당 영도점,5.0,2건,0,부산 영도구 절영로13번길 47-1 1층
116,오븐의온도,4.6,46건,275,부산 부산진구 서전로38번길 43-13 101호
117,로카보어테이블 부산광복점,4.5,4건,11,부산 중구 중앙대로 2 롯데백화점 아쿠아몰 지하 1층
118,브레드365,4.8,27건,7,부산 남구 못골로41번길 13 동원로얄듀크2차 205동 1층 101호
119,프라이빗쉐프,0.0,0건,0,부산 서구 보수대로 65-1
120,파리바게뜨 부산괴정점,5.0,2건,3,부산 사하구 사하로186번길 6
